code,title,section,family,vector_set,eps,jpg,svg
315-73,Parken auf Gehwegen - halb quer zur Fahrtrichtung links Mitte,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-75,Parken auf Gehwegen - halb quer zur Fahrtrichtung rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-76,Parken auf Gehwegen - halb quer zur Fahrtrichtung rechts Anfang,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-77,Parken auf Gehwegen - halb quer zur Fahrtrichtung rechts Ende,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-78,Parken auf Gehwegen - halb quer zur Fahrtrichtung rechts Mitte,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-80,Parken auf Gehwegen - ganz quer zur Fahrtrichtung links,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-81,Parken auf Gehwegen - ganz quer zur Fahrtrichtung links Anfang,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-82,Parken auf Gehwegen - ganz quer zur Fahrtrichtung links Ende,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-83,Parken auf Gehwegen - ganz quer zur Fahrtrichtung links Mitte,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-85,Parken auf Gehwegen - ganz quer zur Fahrtrichtung rechts,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-86,Parken auf Gehwegen - ganz quer zur Fahrtrichtung rechts Anfang,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
315-87,Parken auf Gehwegen - ganz quer zur Fahrtrichtung rechts Ende,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
