code,name,family,file,edition,drawn_size,notes
D4-1,PARKING AREA DIRECTIONAL,Guide Signs,PARKING_AREA_DIRECTIONAL_D4-1.svg,2024 Edition,18.0x14.4 in,"size 18 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D4-2,PARK - RIDE,Guide Signs,PARK_RIDE_D4-2.svg,2024 Edition,24.0x28.8 in,size 24 in: conventional-road row for D4-2 in the 2004/2012 sheets (2024 table has no marker)
D4-3,BICYCLE PARKING,Guide Signs,BICYCLE_PARKING_D4-3.svg,2004 Edition,11.7x18.0 in,scale from the drawing's overall height dimension (18.0 in)
D4-3L,BICYCLE PARKING AREA DIRECTIONAL,Guide Signs,BICYCLE_PARKING_AREA_DIRECTIONAL_D4-3L.svg,2024 Edition,18.0x12.0 in,
D4-3R,BICYCLE PARKING AREA DIRECTIONAL,Guide Signs,BICYCLE_PARKING_AREA_DIRECTIONAL_D4-3R.svg,2024 Edition,18.0x12.0 in,
D4-4L,BICYCLE SHARING STATION DIRECTIONAL,Guide Signs,BICYCLE_SHARING_STATION_DIRECTIONAL_D4-4L.svg,2024 Edition,12.0x18.0 in,
D4-4R,BICYCLE SHARING STATION DIRECTIONAL,Guide Signs,BICYCLE_SHARING_STATION_DIRECTIONAL_D4-4R.svg,2024 Edition,12.0x18.0 in,
D4-4aL,BICYCLE LOCKERS DIRECTIONAL,Guide Signs,BICYCLE_LOCKERS_DIRECTIONAL_D4-4aL.svg,2024 Edition,12.0x18.0 in,
D4-4aR,BICYCLE LOCKERS DIRECTIONAL,Guide Signs,BICYCLE_LOCKERS_DIRECTIONAL_D4-4aR.svg,2024 Edition,12.0x18.0 in,
D5-1,REST AREA ADVANCE,Guide Signs,REST_AREA_ADVANCE_D5-1.svg,2024 Edition,78.0x36.0 in,"size 78 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D5-10,"PICNIC AREA (ROADSIDE TABLE, ROADSIDE PARK) ADVANCE",Guide Signs,PICNIC_AREA_ROADSIDE_TABLE_ROADSIDE_PARK_ADVANCE_3_D5-10.svg,2024 Edition,102.0x36.1 in,"size 102 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 54 but a different drawing; suffixed"
D5-10a,"PICNIC AREA (ROADSIDE TABLE, ROADSIDE PARK) ENTRANCE DIRECTION",Guide Signs,PICNIC_AREA_ROADSIDE_TABLE_ROADSIDE_PARK_ENTRANCE_DIRECTION_3_D5-10a.svg,2024 Edition,102.0x36.1 in,"size 102 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 57 but a different drawing; suffixed"
D5-10b,PICNIC AREA GORE,Guide Signs,PICNIC_AREA_GORE_D5-10b.svg,2024 Edition,42.0x48.0 in,"size 42 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D5-10b,ROADSIDE PARK GORE,Guide Signs,ROADSIDE_PARK_GORE_D5-10b.svg,2024 Edition,66.0x48.0 in,"size 66 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D5-10b,ROADSIDE TABLE GORE,Guide Signs,ROADSIDE_TABLE_GORE_D5-10b.svg,2024 Edition,66.0x48.0 in,"size 66 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D5-11,"SCENIC AREA (SCENIC VIEW, SCENIC OVERLOOK) ADVANCE",Guide Signs,SCENIC_AREA_SCENIC_VIEW_SCENIC_OVERLOOK_ADVANCE_3_D5-11.svg,2024 Edition,108.0x36.1 in,"size 108 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 63 but a different drawing; suffixed"
D5-11a,GUIDE SIGN,Guide Signs,GUIDE_SIGN_2_D5-11a.svg,2024 Edition,84.0x36.1 in,"size 84 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 66 but a different drawing; suffixed"
D5-11a,"SCENIC AREA (SCENIC VIEW, SCENIC OVERLOOK) ENTRANCE DIRECTION",Guide Signs,SCENIC_AREA_SCENIC_VIEW_SCENIC_OVERLOOK_ENTRANCE_DIRECTION_D5-11a.svg,2024 Edition,108.0x36.1 in,"size 108 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D5-11b,ROADSIDE TABLE GORE,Guide Signs,ROADSIDE_TABLE_GORE_D5-11b.svg,2024 Edition,66.0x48.0 in,"size 66 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D5-11b,SCENIC AREA GORE,Guide Signs,SCENIC_AREA_GORE_D5-11b.svg,2024 Edition,54.0x48.0 in,"size 54 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D5-11b,SCENIC VIEW GORE,Guide Signs,SCENIC_VIEW_GORE_D5-11b.svg,2024 Edition,54.0x48.0 in,"size 54 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D5-12,INTERSTATE OASIS,Guide Signs,INTERSTATE_OASIS_D5-12.svg,2024 Edition,162.0x48.1 in,"size 162 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
