code,name,source
KD69,panneau de fin de déviation,IISR 8e partie
KD69a,1000 x 400 mm,IISR 8e partie
KD69b,dépend de la hauteur des caractères,IISR 8e partie
KD79,panneau de signalisation complémentaire d'un itinéraire de déviation,IISR 8e partie
KD8,présignalisation de changement de chaussée ou de trajectoire,IISR 8e partie
KD9,panneau d'affectation des voies,IISR 8e partie
KM9,Dangers temporaires et chantiers fixes,"IISR 8e partie, article 130 heading"
KR1,Feux de balisage et d'alerte,IISR 8e partie
KR11,Signal tricolore d'alternat temporaire,IISR 8e partie
KR11j,Circulation alternée,"IISR 8e partie, article 127 heading"
KR11v,Circulation alternée,"IISR 8e partie, article 127 heading"
KR2,Feux de balisage et d'alerte,IISR 8e partie
KR41,Rampe lumineuse,IISR 8e partie
KR42,Flèche lumineuse,IISR 8e partie
KR43,Flèche lumineuse,IISR 8e partie
KR44,Signal mobile de position d'un rétrécissement temporaire de chaussée,IISR 8e partie
KS1,symbole utilisé pour numéroter un itinéraire de déviation lorsque plusieurs itinéraires de déviations différents se croisent,Wikipedia
KXC50,Message littéral utilisé pour préciser ou compléter une information délivrée par un signal ou pour délivrer une information lorsqu'on ne dispose pas du ou des signaux adéquats,IISR 8e partie
M1,panonceaux de distance,IISR 1e partie
M10,panonceaux d'identification,IISR 1e partie
M10a,numéro d'une route ou d'une autoroute,Wikipedia
M10b,numéro d'un échangeur,Wikipedia
M10c1,accès à une rocade,Wikipedia
M10c2,accès à une rocade,Wikipedia
M10c3,accès à une rocade,Wikipedia
M10z,nom propre d'un site ou de certains services,Wikipedia
M11,panonceaux signalant des dérogations ou des prescriptions,IISR 1e partie
M11a,dérogations aux prescriptions qui s'appliquent à une route à accès réglementé,Wikipedia
M11b1,période durant laquelle la voie a le statut d'aire piétonne,Wikipedia
M11b2,prescriptions particulières qui s'appliquent dans l'aire piétonne,Wikipedia
M12,panonceaux d'autorisation conditionnelle de franchissement pour cycles,IISR 1e partie
M1a,marque du distributeur de carburant et distance restant à parcourir jusqu'au prochain poste de distribution de carburant situé sur une aire de service d'autoroute ou de route à chaussées séparées sans accès riverain,Wikipedia
M2,panonceaux d'étendue,IISR 1e partie
M3,panonceaux de position ou directionnels,IISR 1e partie
M3a,position de la voie concernée par le panneau complété,Wikipedia
M3b,"direction à suivre, et éventuellement sur quelle distance, pour rencontrer le service indiqué par le panneau",Wikipedia
M3d,position de la voie concernée par le panneau complété,Wikipedia
M4,Un panonceau,IISR 4e partie
M4a,véhicules ou ensembles de véhicules dont le poids total autorisé en charge ou le poids total roulant autorisé est inférieur à,Wikipedia
M4b,véhicule de transport en commun de personnes,Wikipedia
M4c,"motocyclette et motocyclette légère, au sens de l'article R.311-1 du code de la route",Wikipedia
M4d1,cycle,Wikipedia
M4d2,cyclomoteur,Wikipedia
M4e,désigne les usagers concernés,Wikipedia
M4f,"véhicule, véhicule articulé, train double ou ensemble de véhicules dont le poids total autorisé en charge ou le poids total roulant autorisé excède le nombre indiqué",Wikipedia
M4g,véhicule affecté au transport de marchandises,Wikipedia
M4h,"véhicule, véhicule articulé, train double ou ensemble de véhicules affectés au transport de marchandises et dont le poids total autorisé en charge et le poids total roulant autorisé excède le nombre indiqué",Wikipedia
M4i,véhicule agricole à moteur,Wikipedia
M4j,véhicule équipé de chaîne à neige,Wikipedia
M4k,"véhicule transportant des marchandises explosives ou facilement inflammables, de nature et en quantité définies par l'arrêté du relatif au transport des marchandises dangereuses par route, et signalés comme tels",Wikipedia
M4l,"véhicule transportant des marchandises de nature à polluer les eaux, de nature et en quantité définies par l'arrêté du relatif au transport des marchandises dangereuses par route, et signalés comme tels",Wikipedia
M4m,"véhicule transportant des marchandises dangereuses définies par l'arrêté du relatif au transport des marchandises dangereuses par route, et signalés comme tels",Wikipedia
M4n,installation aménagée pour handicapés physiques,Wikipedia
M4p,piétons,Wikipedia
M4q,"véhicule, véhicule articulés, train double ou ensemble de véhicules dont la longueur est supérieure au nombre indiqué",Wikipedia
M4r,véhicule pesant sur un essieu plus que le nombre indiqué,Wikipedia
M4s,véhicule à traction animale,Wikipedia
M4t,charrettes à bras,Wikipedia
