code,name,family,file,size,notes,source
R3-18,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/MOVEMENT_PROHIBITION_NO_U_OR_LEFT_TURN_R3-18.svg (was: size 24 in: conventional-road row for R3-18 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=50
R3-20L,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/BEGIN_LEFT_TURN_LANE_R3-20L.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=51
R3-20R,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/BEGIN_RIGHT_TURN_LANE_R3-20R.svg (was: mirrored from R3-20L (not drawn separately on the sheet)),Original PDFs/shsd-2012-section1.pdf#page=51
R3-23,ALL TURNS FROM RIGHT LANE,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ALL_TURNS_FROM_RIGHT_LANE_R3-23.svg (was: scale from the drawing's overall width dimension (7.0 in)),Original PDFs/shsd-2012-section1.pdf#page=52
R3-23a,U TURN FROM RIGHT LANE,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/U_TURN_FROM_RIGHT_LANE_R3-23a.svg (was: no dimension of its own; drawn to the same size as R3-23 on the sheet — check),Original PDFs/shsd-2012-section1.pdf#page=52
R3-24a,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/U_AND_LEFT_TURNS_DIRECTIONAL_OBLIQUE_R3-24a.svg (was: scale from the drawing's overall width dimension (20.708 in)),Original PDFs/shsd-2012-section1.pdf#page=53
R3-24b,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/U_TURN_DIRECTIONAL_OBLIQUE_R3-24b.svg (was: scale from the drawing's overall height dimension (10.254 in)),Original PDFs/shsd-2012-section1.pdf#page=53
R3-24,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ALL_TURNS_DIRECTIONAL_OBLIQUE_R3-24.svg (was: no dimension of its own; drawn to the same size as R3-24b on the sheet — check),Original PDFs/shsd-2012-section1.pdf#page=53
R3-25a,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/U_AND_LEFT_TURNS_DIRECTIONAL_R3-25a.svg (was: scale from the drawing's overall width dimension (20.708 in)),Original PDFs/shsd-2012-section1.pdf#page=54
R3-25,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/ALL_TURNS_DIRECTIONAL_R3-25.svg (was: scale from the drawing's overall width dimension (27.573 in)),Original PDFs/shsd-2012-section1.pdf#page=54
R3-25b,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/U_TURN_DIRECTIONAL_R3-25b.svg (was: no dimension of its own; drawn to the same size as R3-25 on the sheet — check),Original PDFs/shsd-2012-section1.pdf#page=54
