code,name,family,file,size,source,notes
Dv43b_ex2,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43b_ex2.svg,1760x384 mm,Panneaux_D/Signaux_Dv/Dv43b_ex2.svg,drawn 352.0x76.9 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43c_ex1,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43c_ex1.svg,750x375 mm,Panneaux_D/Signaux_Dv/Dv43c_ex1.svg,drawn 150.0x75.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43c_ex2,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43c_ex2.svg,750x375 mm,Panneaux_D/Signaux_Dv/Dv43c_ex2.svg,drawn 150.0x75.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43c_ex3,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43c_ex3.svg,750x375 mm,Panneaux_D/Signaux_Dv/Dv43c_ex3.svg,drawn 150.0x75.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43d_ex1,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43d_ex1.svg,375x750 mm,Panneaux_D/Signaux_Dv/Dv43d_ex1.svg,drawn 75.0x150.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43d_ex2,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43d_ex2.svg,375x750 mm,Panneaux_D/Signaux_Dv/Dv43d_ex2.svg,drawn 75.0x150.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv43d_ex3,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv43d_ex3.svg,375x750 mm,Panneaux_D/Signaux_Dv/Dv43d_ex3.svg,drawn 75.0x150.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv44,Panneau de direction cyclable,D Direction,D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv44.svg,219x58 mm,Panneaux_D/Signaux_Dv/Dv44.svg,drawn 43.9x11.5 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
Dv61_ex1,Panneau de direction cyclable,D Direction,intervene/D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv61_ex1.svg,2000x375 mm,Panneaux_D/Signaux_Dv/Dv61_ex1.svg,"live text in the L1/L4 road alphabet, font not available: 'Parc de Sevran' / 'Bobigny' / '12'; drawn 400.0x75.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
Dv61_ex2,Panneau de direction cyclable,D Direction,intervene/D Direction/PANNEAU_DE_DIRECTION_CYCLABLE_Dv61_ex2.svg,1750x375 mm,Panneaux_D/Signaux_Dv/Dv61_ex2.svg,"live text in the L1/L4 road alphabet, font not available: 'Parc de Sevran' / 'Bobigny' / '12'; drawn 350.0x75.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
E52a_ex2,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E52a_ex2.svg,255x328 mm,Panneaux_E_EB/Signaux_E/E52a_ex2.svg,drawn 51.0x65.5 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E52a_ex3,Panneau de localisation,E EB Localisation,intervene/E EB Localisation/PANNEAU_DE_LOCALISATION_E52a_ex3.svg,395x327 mm,Panneaux_E_EB/Signaux_E/E52a_ex3.svg,front and side faces of the borne drawn side by side (the single-face drawing is E52a_ex2); drawn 79.1x65.4 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
